="Numéro FINESS";="SIRET";="APE";="Raison sociale";="Complément distribution";="Adresse";="Lieudit/BP";="Code postal";="Libelle routage";="Tel";="Fax";
="760032649";="200 023 414 00010";;="AIRE DE GRAND PASSAGE GDV CAUDEBEC";="ACCUEIL DES GENS DU VOYAGE";="";="CLOS ALLARD";="76320";="CAUDEBEC LES ELBEUF";="02 32 76 69 41 ";;
="760032730";="200 023 414 00010";;="AIRE ACCUEIL GDV BOISGUILLAUME-BIHOREL";="ACCUEIL DES GENS DU VOYAGE";="ROUTE DE NEUFCHATEL";="ROND POINT RD 43";="76232";="BOIS GUILLAUME CEDEX";;;
="760033969";="200 023 414 00010";;="AIRE ACCUEIL GDV OISSEL";="ACCUEIL DES GENS DU VOYAGE";="CHEMIN CENTRE TECHNIQUE MUNICIPAL";;="76350";="OISSEL";;;
="760033993";="200 010 700 00017";;="AIRE ACCUEIL GDV BOLBEC";="ACCUEIL DES GENS DU VOYAGE";="ROUTE DE FAUVILLE";;="76210";="BOLBEC";;;
="760034017";="200 084 952 00015";;="AIRE ACCUEIL GDV MONTIVILLIERS";="ACCUEIL DES GENS DU VOYAGE";="PARC D'ACTIVITE EPAVILLE";="SECTION ZE";="76290";="MONTIVILLIERS";;;
="760037861";="200 023 414 00010";;="AIRE ACCUEIL GDV SAINT-PIERRE-CAUDEBEC";="ACCUEIL DES GENS DU VOYAGE";="RUE DES BOSQUETS";;="76320";="ST PIERRE LES ELBEUF";;;
="850005158";="268 500 501 00021";;="AIRE STATIONNEMENT NOMADES";;="ROUTE DE NANTES";;="85300";="CHALLANS";="02 51 93 00 47 ";;
="850005166";="268 500 584 00027";;="AIRE STATIONNEMENT NOMADES";;="ROUTE DE L'HERBAUDIERE";;="85330";="NOIRMOUTIER EN L ILE";="02 51 39 05 29 ";;
="850005174";="268 500 857 00050";;="AIRE STATIONNEMENT NOMADES";="LE BOURG SOUS LA ROCHE";="RUE GUILLEROT";;="85000";="LA ROCHE SUR YON";="02 51 37 21 08 ";;
="850005182";="268 501 038 00023";;="AIRE STATIONNEMENT NOMADES";;="RUE DE LA DRIE";;="85800";="ST GILLES CROIX DE VIE";="02 51 55 51 57 ";;
="850005190";="218 501 948 00150";;="AIRE STATIONNEMENT NOMADES";="LES PATOUSES";="LA PARACOU";;="85100";="LES SABLES D OLONNE";="02 51 32 46 50 ";;
="850005208";="268 500 923 00050";;="AIRE STATIONNEMENT NOMADES";="Z A C DE CHARZAIS";="RUE LA FONTAINE";;="85200";="FONTENAY LE COMTE";="02 51 69 20 64 ";;
="850009788";="268 500 741 00031";;="AIRE STATIONNEMENT NOMADES";;="ROUTE DE NANTES";;="85110";="CHANTONNAY";="02 51 94 30 36 ";;
="850009937";="268 501 863 00024";;="AIRE STATIONNEMENT NOMADES";;="ROUTE DE LA COPECHAGNIERE";;="85260";="L HERBERGEMENT";="02 51 42 81 74 ";;
="850010299";="268 502 556 00023";;="AIRE STATIONNEMENT NOMADES";;="RUE DE LA SCIERIE";;="85250";="ST FULGENT";="02 51 42 62 26 ";;
="850010554";="268 500 758 00035";;="AIRE STATIONNEMENT NOMADES";;="CHEMIN DES MEUNIERS";;="85500";="LES HERBIERS";="02 51 91 07 67 ";;
="850020157";="268 502 234 00035";;="AIRE STATIONNEMENT NOMADES";;="ROUTE DE LA BERNARDIERE";;="85530";="LA BRUFFIERE";="02 51 42 50 36 ";;
="850020165";="268 500 956 00035";;="AIRE STATIONNEMENT NOMADES";;="";="LE MUREAU";="85400";="LUCON";="02 51 56 05 00 ";;
="850020207";="268 500 907 00053";;="AIRE STATIONNEMENT NOMADES";;="CHEMIN DE LA PLAINE";;="85120";="LA CHATAIGNERAIE";="02 51 69 60 41 ";;
="850020215";="268 501 020 00047";;="AIRE STATIONNEMENT NOMADES";;="RUE LAENNEC";;="85540";="MOUTIERS LES MAUXFAITS";="02 51 98 90 33 ";;
="870010105";="218 708 501 00018";;="AIRE D'ACCUEIL DES GENS DU VOYAGE";;="RUE DJANGO REINHARDT";;="87100";="LIMOGES";="05 55 50 07 72 ";;
="870014826";="248 700 163 00012";;="AIRE D'ACCUEIL POUR LES GENS DU VOYAGE";="LES EPANOURS";="";;="87300";="BELLAC";="05 55 68 03 42 ";;
="870014958";="218 707 503 00155";;="AIRE ACCUEIL GENS DU VOYAGE";;="";="L'ETOILE";="87170";="ISLE";;;
="870015633";="218 711 406 00015";;="AIRE D'ACCUEIL DES GENS DU VOYAGE";="PUY MOULINIER";="ROUTE DU PALAIS";;="87350";="PANAZOL";="05 55 06 47 70 ";;
="870015674";="218 706 505 00011";;="AIRE D'ACCUEIL DES GENS DU VOYAGE";;="";="L'ESSART";="87220";="FEYTIAT";="05 55 48 43 00 ";;
="870015690";="218 705 002 00010";;="AIRE D'ACCUEIL DES GENS DU VOYAGE";="BOIS DES FOURNERIES";="CARREFOUR DU MAS-GIGOU";;="87270";="COUZEIX";="05 55 04 12 23 ";;
="870015716";="218 711 307 00015";;="AIRE D'ACCUEIL DES GENS DU VOYAGE";="LE PUY VERT";="";;="87410";="LE PALAIS SUR VIENNE";="05 55 04 34 00 ";;
="870015732";="218 716 108 00012";;="AIRE D'ACCUEIL DES GENS DU VOYAGE";="LE RACA";="";;="87400";="ST LEONARD DE NOBLAT";="05 55 56 00 13 ";;
="870015930";="248 719 304 00045";;="AIRE D'ACCUEIL DES GENS DU VOYAGE";;="ZONE DU PAVILLON";;="87200";="ST JUNIEN";;;
="900004961";="200 069 052 00013";;="AIRE D'ACCUEIL DES GENS DU VOYAGE";="PORTE DU VALLON";="75 FAUBOURG DE BRISACH";;="90000";="BELFORT";="06 85 66 40 43 ";;
="950029868";;;="AIRE STATION NOMADES : DE SARCELLES";;="";;="95200";="SARCELLES";;;
="950029926";;;="AIRE STATION NOMADES : DE LOUVRES";;="32 RUE DE LA BRIQUETERIE";="LE VAL NOËL";="95700";="ROISSY EN FRANCE";;;
="950029942";;;="AIRE STATION NOMADES : DE DOMONT";="RD 909";="RUE DE PARIS";;="95330";="DOMONT";;;
="950030007";;;="AIRE STATION NOMADES : JOUY LE MOUTIER";;="BOULEVARD DE L'OISE";="LES MERISIERS";="95280";="JOUY LE MOUTIER";;;
="950031146";;;="AIRE STATION NOMADES : D'ERMONT";="AIRE D'ACCUEIL LE NOYER MULOT";="RUE DU 18 JUIN";;="95120";="ERMONT";;;
="950031153";;;="AIRE STATION NOMADES : DE LA GARENNE";="AIRE D'ACCUEIL DE LA GARENNE";="ROUTE DE PIERRELAYE";="CHE DE LA CROIX À JEAN DUBOIS";="95550";="BESSANCOURT";;;
="950031161";;;="AIRE STATION NOMADE : D'EAUBONNE";="AIRE D'ACCUEIL";="81 ROUTE DE MONTLIGNON";;="95600";="EAUBONNE";="01 34 27 26 00 ";;
="950031179";;;="AIRE STATION NOMADE : DE L'ISLE ADAM";="AIRE D'ACCUEIL";="CHEMIN DES POMMIERS";;="95290";="L ISLE ADAM";="01 34 08 19 19 ";="01 34 08 19 10";
="950031187";;;="AIRE STATION NOMADES : D'OSNY";="AIRE D'ACCUEIL";="";="LA VALLEE GUYON";="95520";="OSNY";;;
="950031195";;;="AIRE STATION NOMADES: ST OUEN L'AUMÔNE";="AIRE D'ACCUEIL";="LES PRÈS DE ST OUEN";;="95310";="ST OUEN L AUMONE";;;
="950031203";;;="AIRE STATION NOMADES : AIRE DU NIGLO";="AIRE D'ACCUEIL DE PONTOISE";="CHEMIN DU NOUVEAU ST MARTIN";;="95000";="PONTOISE";;;
="950031211";;;="AIRE STATION NOMADES : LA GARENNE";;="5 BOULEVARD HENRI NAVIER";;="95155";="TAVERNY CEDEX";="01 30 40 50 60 ";;
="950032391";;;="AIRE STATION NOMADES : DE CERGY";;="BOULEVARD DE LA PAIX";="LA CROIX ROUGE";="95000";="CERGY";;;
="950032417";;;="AIRE STATION NOMADES : DE CORMEILLES";;="CHEMIN DES ALLUETS";;="95240";="CORMEILLES EN PARISIS";;;
="950032425";;;="AIRE STATION NOMADES : MONTIGNY";;="38 RUE MARCEAU COLLIN";;="95370";="MONTIGNY LES CORMEILLES";;;
="950032433";;;="AIRE STATION NOMADES : ST BRICE/FORËT";;="CHEMIN DE LA POINTE DU CLOCHER";;="95350";="ST BRICE SOUS FORET";;;
="950032441";;;="AIRE STATION NOMADES : DE FRANCONVILLE";;="21 RUE DU CHEMIN NEUF";;="95130";="FRANCONVILLE LA GARENNE";;;
="950032466";;;="AIRE STATION NOMADES : DE PARMAIN";;="SENTIER DES CHARRUES";="SOUS LE BOIS GANNETIN";="95620";="PARMAIN";;;
="950032474";;;="AIRE STATION NOMADES : DE PERSAN";;="12 RUE DU CHEMIN VERT";;="95340";="PERSAN";;;
="950032490";;;="AIRE STATION NOMADES : DE ST LEU/FORËT";;="181 BOULEVARD ANDRÉ BRÉMONT";;="95320";="ST LEU LA FORET";;;
="950032508";;;="AIRE STATION NOMADES : DE SANNOIS";;="ROUTE DE L'ERMITAGE";;="95110";="SANNOIS";;;
